Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695351566,500,,Aggregated,134.300000,0.000000,1000,1100,1200,1900,2100,3900,4400,8100,17000,33000,33000,12996,0,1000.0,1407.5320550879535,248.24108000007072,33314.213592999746,257.38811942136044
1695351567,500,,Aggregated,136.200000,0.000000,1000,1100,1200,1900,2100,3900,4400,8200,17000,33000,33000,13139,0,1000.0,1412.3047910149214,248.24108000007072,33314.213592999746,257.301240581475
1695351568,500,,Aggregated,133.500000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13294,0,1000.0,1418.9353973523434,248.24108000007072,33314.213592999746,256.9782608695652
1695351569,500,,Aggregated,133.900000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13409,0,1000.0,1422.4944563197905,248.24108000007072,33314.213592999746,256.95898277276456
1695351570,500,,Aggregated,134.400000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13542,0,1000.0,1427.514020497865,248.24108000007072,33314.213592999746,257.0914931324767
1695351571,500,,Aggregated,135.900000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13653,0,1000.0,1428.9440435718943,248.24108000007072,33314.213592999746,257.17703068922583
1695351572,500,,Aggregated,134.600000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13791,0,1000.0,1431.7114522313877,248.24108000007072,33314.213592999746,257.06453484156333
1695351573,500,,Aggregated,135.400000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,13924,0,1000.0,1436.3705052072012,248.24108000007072,33314.213592999746,257.04711289859233
1695351574,500,,Aggregated,133.800000,0.000000,1000,1100,1200,2000,2100,3900,4400,8200,17000,33000,33000,14079,0,1000.0,1438.4680159253553,248.24108000007072,33314.213592999746,257.01179061012857
1695351575,500,,Aggregated,133.000000,0.000000,1000,1100,1200,2000,2200,3900,4400,8200,17000,33000,33000,14205,0,1000.0,1441.344493916232,248.24108000007072,33314.213592999746,257.2284406898979
1695351576,500,,Aggregated,133.200000,0.000000,1000,1100,1200,2000,2200,3900,4400,8200,17000,33000,33000,14341,0,1000.0,1444.234663302703,248.24108000007072,33314.213592999746,257.3412593264068
1695351577,500,,Aggregated,135.200000,0.000000,1000,1100,1200,2000,2200,3900,4400,8200,17000,33000,33000,14492,0,1000.0,1443.9050716571955,248.24108000007072,33314.213592999746,257.2237096329009
1695351578,500,,Aggregated,134.700000,0.000000,1000,1100,1200,2000,2200,4000,4400,8200,17000,33000,33000,14618,0,1000.0,1448.4635277681678,248.24108000007072,33314.213592999746,257.1556300451498
1695351579,500,,Aggregated,134.800000,0.000000,1000,1100,1200,2000,2200,4000,4400,8200,17000,33000,33000,14757,0,1000.0,1449.685421666062,248.24108000007072,33314.213592999746,257.2368367554381
1695351580,500,,Aggregated,134.900000,0.000000,1000,1100,1200,2000,2200,4000,4400,8200,17000,33000,33000,14908,0,1000.0,1449.2147058334506,248.24108000007072,33314.213592999746,257.49195063053395
1695351581,500,,Aggregated,132.300000,0.000000,1000,1100,1200,2000,2200,4000,4400,8200,17000,33000,33000,15041,0,1000.0,1450.6763486538184,248.24108000007072,33314.213592999746,257.4720430822419
1695351582,500,,Aggregated,134.200000,0.000000,1000,1100,1300,2000,2200,4000,4400,8200,17000,33000,33000,15148,0,1000.0,1451.0494255637116,248.24108000007072,33314.213592999746,257.4888434116715
1695351583,500,,Aggregated,136.700000,0.000000,1000,1100,1300,2000,2200,4000,4400,8200,17000,33000,33000,15286,0,1000.0,1454.6409564172513,248.24108000007072,33314.213592999746,257.7059400758864
1695351584,500,,Aggregated,137.700000,0.000000,1000,1100,1300,2000,2200,4000,4400,8200,17000,33000,33000,15412,0,1000.0,1456.4695449840444,248.24108000007072,33314.213592999746,257.65617700493124
1695351585,500,,Aggregated,135.300000,0.000000,1000,1100,1300,2000,2200,4000,4400,8200,17000,33000,33000,15548,0,1000.0,1457.0715859085483,248.24108000007072,33314.213592999746,257.66355801389244
1695351586,500,,Aggregated,135.900000,0.000000,1000,1100,1300,2000,2200,4000,4500,8200,17000,33000,33000,15686,0,1000.0,1460.2295878138539,248.24108000007072,33314.213592999746,257.5419482340941
1695351588,500,,Aggregated,133.000000,0.000000,1000,1100,1300,2000,2200,4000,4500,8200,17000,33000,33000,15843,0,1000.0,1461.4816141988324,248.24108000007072,33314.213592999746,257.6882534873446
1695351589,500,,Aggregated,134.100000,0.000000,1000,1100,1400,2000,2200,4000,4500,8200,17000,33000,33000,15977,0,1000.0,1462.009680127064,248.24108000007072,33314.213592999746,257.71315015334545
1695351590,500,,Aggregated,133.700000,0.000000,1000,1100,1300,2000,2200,4000,4500,8200,17000,33000,33000,16110,0,1000.0,1462.7608499469354,248.24108000007072,33314.213592999746,257.7644941030416
1695351591,500,,Aggregated,135.200000,0.000000,1000,1100,1400,2000,2200,4000,4500,8200,17000,33000,33000,16241,0,1000.0,1466.8153312680345,248.24108000007072,33314.213592999746,257.8505018163906
1695351592,500,,Aggregated,134.900000,0.000000,1000,1100,1400,2000,2200,4000,4500,8200,17000,33000,33000,16361,0,1000.0,1469.7774298303377,248.24108000007072,33314.213592999746,257.76694578570994
1695351593,500,,Aggregated,132.600000,0.000000,1000,1100,1500,2000,2200,4000,4500,8200,17000,33000,33000,16484,0,1000.0,1471.2329032028133,248.24108000007072,33314.213592999746,257.6759888376608
1695351594,500,,Aggregated,131.900000,0.000000,1000,1100,1600,2000,2200,4000,4500,8200,17000,33000,33000,16623,0,1000.0,1473.3861381754896,248.24108000007072,33314.213592999746,257.6915719184263
1695351595,500,,Aggregated,133.000000,0.000000,1000,1100,1600,2000,2200,4000,4500,8300,17000,33000,33000,16763,0,1000.0,1476.0472262494284,248.24108000007072,33314.213592999746,257.75004474139473
1695351596,500,,Aggregated,133.300000,0.000000,1000,1100,1700,2000,2200,4000,4500,8200,17000,33000,33000,16920,0,1000.0,1477.2425586695729,248.24108000007072,33314.213592999746,257.81678486997635
1695351597,500,,Aggregated,133.900000,0.000000,1000,1100,1700,2000,2200,4000,4500,8200,17000,33000,33000,17042,0,1000.0,1478.3009908716783,248.24108000007072,33314.213592999746,257.92342448069473
1695351598,500,,Aggregated,136.500000,0.000000,1000,1100,1700,2000,2200,4000,4500,8200,17000,33000,33000,17170,0,1000.0,1480.772595536933,248.24108000007072,33314.213592999746,258.04554455445543
1695351599,500,,Aggregated,135.100000,0.000000,1000,1100,1700,2000,2200,4000,4500,8200,17000,33000,33000,17321,0,1000.0,1480.269991051679,248.24108000007072,33314.213592999746,257.9410542116506
1695351600,500,,Aggregated,132.100000,0.000000,1000,1100,1800,2000,2200,4000,4500,8200,17000,33000,33000,17453,0,1000.0,1480.3032734446876,248.24108000007072,33314.213592999746,257.89560534005614
1695351601,500,,Aggregated,133.800000,0.000000,1000,1100,1800,2000,2200,4000,4500,8200,17000,33000,33000,17580,0,1000.0,1481.7226750067198,248.24108000007072,33314.213592999746,257.7931171786121
1695351602,500,,Aggregated,133.800000,0.000000,1000,1100,1800,2000,2200,4000,4500,8200,17000,33000,33000,17694,0,1000.0,1483.2901820182055,248.24108000007072,33314.213592999746,257.71600542556797
1695351603,500,,Aggregated,133.800000,0.000000,1000,1100,1800,2000,2200,4000,4500,8200,17000,33000,33000,17843,0,1000.0,1483.2798978073267,248.24108000007072,33314.213592999746,257.74684750322257
